Strategy,Entry,SL,TP,Result,RR,Date,Screenshot
ATR Breakout,1.14996,1.1614596000000001,1.1269608,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15164,1.1631564,1.1286072,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15387,1.1423313,1.1769474,open,2.0,2025-06-20 23:56,
ATR Breakout,1.14971,1.1612071,1.1267158,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15397,1.1424303,1.1770494,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15178,1.1402622,1.1748156,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15032,1.1388168,1.1733264,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15211,1.1636311,1.1290677999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15434,1.1427965999999998,1.1774267999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15163,1.1631463,1.1285973999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15053,1.1390247,1.1735406000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15349,1.1419551,1.1765598,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15188,1.1403612,1.1749176000000001,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15148,1.1399652,1.1745096000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15343,1.1418956999999998,1.1764986,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15161,1.1631261,1.1285778,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.1514199999999999,1.1629341999999998,1.1283915999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15367,1.1421333,1.1767433999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15115,1.1626615,1.1281269999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15341,1.1649441,1.1303418,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15192,1.1404008,1.1749584000000002,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15272,1.1642472,1.1296656,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15284,1.1413116,1.1758968,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15308,1.1415492,1.1761416000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.1528,1.164328,1.129744,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15309,1.1415591,1.1761518,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15304,1.1415096,1.1761008000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15266,1.1641866,1.1296068,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15335,1.1418165,1.176417,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15275,1.1412225,1.175805,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.1535,1.141965,1.17657,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15387,1.1423313,1.1769474,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15258,1.1641058,1.1295283999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15195,1.1634695,1.128911,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15397,1.1424303,1.1770494,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.1517,1.163217,1.128666,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15434,1.1427965999999998,1.1774267999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15349,1.1419551,1.1765598,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15343,1.1418956999999998,1.1764986,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15164,1.1631564,1.1286072,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15367,1.1421333,1.1767433999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15178,1.1402622,1.1748156,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15341,1.1649441,1.1303418,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15211,1.1636311,1.1290677999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15163,1.1631463,1.1285973999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15272,1.1642472,1.1296656,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15308,1.1415492,1.1761416000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15188,1.1403612,1.1749176000000001,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15309,1.1415591,1.1761518,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15161,1.1631261,1.1285778,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15266,1.1641866,1.1296068,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15154,1.1630554,1.1285091999999999,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15192,1.1404008,1.1749584000000002,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15258,1.1641058,1.1295283999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15195,1.1634695,1.128911,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.1517,1.163217,1.128666,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15164,1.1631564,1.1286072,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15178,1.1402622,1.1748156,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15211,1.1636311,1.1290677999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15163,1.1631463,1.1285973999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15188,1.1403612,1.1749176000000001,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15161,1.1631261,1.1285778,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15154,1.1630554,1.1285091999999999,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15192,1.1404008,1.1749584000000002,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.1515900000000001,1.1400741,1.1746218000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.15147,1.1629847,1.1284406,open,2.0,2025-06-20 23:56,
MA Crossover,1.1520299999999999,1.1405097,1.1750706,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.15162,1.1631362,1.1285876000000001,open,2.0,2025-06-20 23:56,
MA Crossover,1.15148,1.1399652,1.1745096000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.1521,1.163621,1.129058,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15227,1.1407473,1.1753154,open,2.0,2025-06-20 23:56,
MA Crossover,1.15196,1.1634796,1.1289208000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.1522999999999999,1.140777,1.175346,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.15388,1.1654188,1.1308024,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15356,1.1420244,1.1766311999999999,open,2.0,2025-06-20 23:56,
MA Crossover,1.15343,1.1649643,1.1303614,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15297,1.1414403,1.1760294,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15289,1.1644189,1.1298321999999998,open,2.0,2025-06-20 23:56,
MA Crossover,1.15221,1.1406878999999999,1.1752542,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15178,1.1632978,1.1287444,open,2.0,2025-06-20 23:56,
MA Crossover,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15168,1.1631968000000001,1.1286464,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15212,1.1405988,1.1751624,open,2.0,2025-06-20 23:56,
MACD Signal,1.15139,1.1629038999999999,1.1283622,open,2.0,2025-06-20 23:56,
MACD Signal,1.15139,1.1398761,1.1744177999999998,open,2.0,2025-06-20 23:56,
MACD Signal,1.15148,1.1629948,1.1284504,open,2.0,2025-06-20 23:56,
MACD Signal,1.15089,1.1393811,1.1739078,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.1503,1.1618030000000001,1.127294,open,2.0,2025-06-20 23:56,
MACD Signal,1.15032,1.1388168,1.1733264,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.15209,1.1636109000000001,1.1290482,open,2.0,2025-06-20 23:56,
MACD Signal,1.15286,1.1413313999999999,1.1759172,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15259,1.1641159,1.1295382,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15224,1.1407175999999999,1.1752848,open,2.0,2025-06-20 23:56,
MACD Signal,1.1533,1.164833,1.130234,open,2.0,2025-06-20 23:56,
MACD Signal,1.15347,1.1419352999999999,1.1765394,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.1535,1.165035,1.13043,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15387,1.1423313,1.1769474,open,2.0,2025-06-20 23:56,
MACD Signal,1.15371,1.1652471,1.1306358,open,2.0,2025-06-20 23:56,
MACD Signal,1.15434,1.1427965999999998,1.1774267999999999,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15409,1.1656309,1.1310082000000001,open,2.0,2025-06-20 23:56,
MACD Signal,1.15369,1.1421531,1.1767638,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.1535,1.165035,1.13043,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15349,1.1419551,1.1765598,open,2.0,2025-06-20 23:56,
MACD Signal,1.15344,1.1649744,1.1303712,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.15308,1.1415492,1.1761416000000002,open,2.0,2025-06-20 23:56,
MACD Signal,1.15293,1.1644593,1.1298714,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15304,1.1415096,1.1761008000000002,open,2.0,2025-06-20 23:56,
MACD Signal,1.15289,1.1644189,1.1298321999999998,open,2.0,2025-06-20 23:56,
MACD Signal,1.15261,1.1410839,1.1756621999999999,open,2.0,2025-06-20 23:56,
MACD Signal,1.1525,1.164025,1.12945,open,2.0,2025-06-20 23:56,
MACD Signal,1.15181,1.1402919,1.1748462,open,2.0,2025-06-20 23:56,
MACD Signal,1.15171,1.1632271,1.1286758,open,2.0,2025-06-20 23:56,
MACD Signal,1.15188,1.1403612,1.1749176000000001,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.15177,1.1632877,1.1287346,open,2.0,2025-06-20 23:56,
MACD Signal,1.15192,1.1404008,1.1749584000000002,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15143,1.1629443,1.1284014,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1518,1.1633179999999999,1.1287639999999999,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15147,1.1399553,1.1744994,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15138,1.1628938,1.1283524,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1520299999999999,1.1635502999999998,1.1289893999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1520299999999999,1.1635502999999998,1.1289893999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15196,1.1634796,1.1289208000000002,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15124,1.1397276,1.1742648,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1512,1.139688,1.174224,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15116,1.1396484,1.1741831999999999,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15095,1.1394404999999999,1.173969,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1507,1.1391930000000001,1.1737140000000001,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15062,1.1391138,1.1736324,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1506,1.139094,1.173612,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15055,1.1390445,1.173561,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15039,1.1388861000000001,1.1733978,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15048,1.1389752,1.1734896,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.14982,1.1383218000000002,1.1728164,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.14971,1.1382129,1.1727042,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.14977,1.1382723,1.1727654,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15097,1.1624797,1.1279506000000001,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15097,1.1624797,1.1279506000000001,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15148,1.1629948,1.1284504,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15181,1.1633281,1.1287738,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1514199999999999,1.1629341999999998,1.1283915999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1526399999999999,1.1641663999999998,1.1295871999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15227,1.1407473,1.1753154,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15241,1.1408859,1.1754582,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15233,1.1638533,1.1292834,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15237,1.1638936999999998,1.1293225999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15257,1.1640957,1.1295186000000002,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15239,1.1639139,1.1293422,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15187,1.1403512999999998,1.1749074,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15198,1.1404602,1.1750196,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15196,1.1634796,1.1289208000000002,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15224,1.1637624,1.1291951999999998,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1524,1.1639240000000002,1.1293520000000001,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15237,1.1638936999999998,1.1293225999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1526399999999999,1.1411136,1.1756928,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15294,1.1644694,1.1298812,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1528,1.164328,1.129744,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15308,1.1646108000000002,1.1300184,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15293,1.1644593,1.1298714,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15347,1.1650047000000001,1.1304006,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15345,1.1649845,1.130381,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15374,1.1422026,1.1768148,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15434,1.1658834,1.1312532,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.1543,1.1658430000000002,1.1312140000000002,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.1540300000000001,1.1424897,1.1771106000000002,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15415,1.1426085,1.177233,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15391,1.1654491,1.1308318,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15344,1.1419056,1.1765088000000001,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15355,1.1650855,1.130479,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15326,1.1417274,1.1763252,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15328,1.1417472,1.1763456,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15323,1.1416977,1.1762946,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15322,1.1416878,1.1762844,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1535,1.165035,1.13043,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15319,1.1416581,1.1762538,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15295,1.1414205,1.1760089999999999,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15304,1.1645704000000001,1.1299792,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15286,1.1413313999999999,1.1759172,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15288,1.1413512,1.1759376,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15287,1.1413413000000001,1.1759274000000002,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15292,1.1413908,1.1759784,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15293,1.1414007,1.1759886,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15289,1.1644189,1.1298321999999998,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15253,1.1410047,1.1755806,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.1522000000000001,1.140678,1.1752440000000002,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15219,1.1406681,1.1752338,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15195,1.1404305000000001,1.174989,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15184,1.1403216,1.1748768,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.1517,1.140183,1.174734,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15168,1.1401632,1.1747136,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.1518,1.140282,1.174836,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15188,1.1633988,1.1288424,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15211,1.1636311,1.1290677999999998,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15165,1.1401335000000001,1.1746830000000001,open,2.000000000000019,2025-06-20 23:56,
Pattern Trigger,1.15187,1.1633887,1.1288326,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15215,1.1636715,1.129107,open,2.0,2025-06-20 23:56,
Pattern Trigger,1.15217,1.1636917,1.1291266,open,1.9999999999999807,2025-06-20 23:56,
Pattern Trigger,1.15212,1.1636412,1.1290776,open,2.0,2025-06-20 23:56,
RSI Reversal,1.15066,1.1391534,1.1736732,open,2.000000000000019,2025-06-20 23:56,
RSI Reversal,1.15021,1.1387079,1.1732141999999999,open,2.0,2025-06-20 23:56,
RSI Reversal,1.1499,1.138401,1.172898,open,2.000000000000019,2025-06-20 23:56,
RSI Reversal,1.1514199999999999,1.1629341999999998,1.1283915999999998,open,2.000000000000019,2025-06-20 23:56,
RSI Reversal,1.15229,1.1638129000000002,1.1292442,open,1.9999999999999807,2025-06-20 23:56,
RSI Reversal,1.1526399999999999,1.1641663999999998,1.1295871999999998,open,2.000000000000019,2025-06-20 23:56,
RSI Reversal,1.15377,1.1653077,1.1306946,open,1.9999999999999807,2025-06-20 23:56,
RSI Reversal,1.15419,1.1657319000000002,1.1311062,open,1.9999999999999807,2025-06-20 23:56,
RSI Reversal,1.15295,1.1414205,1.1760089999999999,open,2.0,2025-06-20 23:56,
RSI Reversal,1.15285,1.1413214999999999,1.175907,open,2.0,2025-06-20 23:56,
RSI Reversal,1.15275,1.1412225,1.175805,open,2.000000000000019,2025-06-20 23:56,
RSI Reversal,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
RSI Reversal,1.15178,1.1402622,1.1748156,open,2.0,2025-06-20 23:56,
Bollinger Bounce,1.1543,1.1658430000000002,1.1312140000000002,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15106,1.1625706,1.1280388,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15173,1.1632472999999999,1.1286953999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15139,1.1629038999999999,1.1283622,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15164,1.1401236,1.1746728,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15151,1.1399949,1.1745402,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15089,1.1393811,1.1739078,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15044,1.1619443999999999,1.1274312,open,2.0,2025-06-20 23:56,
ATR Breakout,1.14996,1.1614596000000001,1.1269608,open,2.0,2025-06-20 23:56,
ATR Breakout,1.14971,1.1612071,1.1267158,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15032,1.1388168,1.1733264,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15053,1.1390247,1.1735406000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15148,1.1399652,1.1745096000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.1514199999999999,1.1629341999999998,1.1283915999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15115,1.1626615,1.1281269999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15224,1.1407175999999999,1.1752848,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15284,1.1413116,1.1758968,open,2.0,2025-06-20 23:56,
ATR Breakout,1.1528,1.164328,1.129744,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15304,1.1415096,1.1761008000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15335,1.1418165,1.176417,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.1535,1.141965,1.17657,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15387,1.1423313,1.1769474,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15397,1.1424303,1.1770494,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15434,1.1427965999999998,1.1774267999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15349,1.1419551,1.1765598,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15343,1.1418956999999998,1.1764986,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15367,1.1421333,1.1767433999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15341,1.1649441,1.1303418,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15272,1.1642472,1.1296656,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15308,1.1415492,1.1761416000000002,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15309,1.1415591,1.1761518,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15266,1.1641866,1.1296068,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15275,1.1412225,1.175805,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15258,1.1641058,1.1295283999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15195,1.1634695,1.128911,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.1517,1.163217,1.128666,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15164,1.1631564,1.1286072,open,1.9999999999999807,2025-06-20 23:56,
ATR Breakout,1.15178,1.1402622,1.1748156,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15211,1.1636311,1.1290677999999998,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15163,1.1631463,1.1285973999999999,open,2.0,2025-06-20 23:56,
ATR Breakout,1.15188,1.1403612,1.1749176000000001,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15161,1.1631261,1.1285778,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15154,1.1630554,1.1285091999999999,open,2.000000000000019,2025-06-20 23:56,
ATR Breakout,1.15192,1.1404008,1.1749584000000002,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.1515900000000001,1.1400741,1.1746218000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.15147,1.1629847,1.1284406,open,2.0,2025-06-20 23:56,
MA Crossover,1.1520299999999999,1.1405097,1.1750706,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.15162,1.1631362,1.1285876000000001,open,2.0,2025-06-20 23:56,
MA Crossover,1.15148,1.1399652,1.1745096000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.1521,1.163621,1.129058,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15227,1.1407473,1.1753154,open,2.0,2025-06-20 23:56,
MA Crossover,1.15196,1.1634796,1.1289208000000002,open,2.0,2025-06-20 23:56,
MA Crossover,1.1522999999999999,1.140777,1.175346,open,2.000000000000019,2025-06-20 23:56,
MA Crossover,1.15388,1.1654188,1.1308024,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15356,1.1420244,1.1766311999999999,open,2.0,2025-06-20 23:56,
MA Crossover,1.15343,1.1649643,1.1303614,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15297,1.1414403,1.1760294,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15289,1.1644189,1.1298321999999998,open,2.0,2025-06-20 23:56,
MA Crossover,1.15221,1.1406878999999999,1.1752542,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15178,1.1632978,1.1287444,open,2.0,2025-06-20 23:56,
MA Crossover,1.15194,1.1404206,1.1749787999999999,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15168,1.1631968000000001,1.1286464,open,1.9999999999999807,2025-06-20 23:56,
MA Crossover,1.15212,1.1405988,1.1751624,open,2.0,2025-06-20 23:56,
MACD Signal,1.15139,1.1629038999999999,1.1283622,open,2.0,2025-06-20 23:56,
MACD Signal,1.15139,1.1398761,1.1744177999999998,open,2.0,2025-06-20 23:56,
MACD Signal,1.15148,1.1629948,1.1284504,open,2.0,2025-06-20 23:56,
MACD Signal,1.15089,1.1393811,1.1739078,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.1503,1.1618030000000001,1.127294,open,2.0,2025-06-20 23:56,
MACD Signal,1.15032,1.1388168,1.1733264,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.15209,1.1636109000000001,1.1290482,open,2.0,2025-06-20 23:56,
MACD Signal,1.15286,1.1413313999999999,1.1759172,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15259,1.1641159,1.1295382,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15224,1.1407175999999999,1.1752848,open,2.0,2025-06-20 23:56,
MACD Signal,1.1533,1.164833,1.130234,open,2.0,2025-06-20 23:56,
MACD Signal,1.15347,1.1419352999999999,1.1765394,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.1535,1.165035,1.13043,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15387,1.1423313,1.1769474,open,2.0,2025-06-20 23:56,
MACD Signal,1.15371,1.1652471,1.1306358,open,2.0,2025-06-20 23:56,
MACD Signal,1.15434,1.1427965999999998,1.1774267999999999,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15409,1.1656309,1.1310082000000001,open,2.0,2025-06-20 23:56,
MACD Signal,1.15369,1.1421531,1.1767638,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.1535,1.165035,1.13043,open,1.9999999999999807,2025-06-20 23:56,
MACD Signal,1.15349,1.1419551,1.1765598,open,2.0,2025-06-20 23:56,
MACD Signal,1.15344,1.1649744,1.1303712,open,2.000000000000019,2025-06-20 23:56,
MACD Signal,1.15308,1.1415492,1.1761416000000002,open,2.0,2025-06-20 23:56,
